Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,
15026,Fine Particulate Matter,2013-04-13,11,11,11,12,12,10,8,5,4,4,4,5,4,3,2,2,2,3,3,2,2,2,2,2,
15026,Fine Particulate Matter,2013-04-14,3,4,5,6,7,7,8,6,7,7,5,6,5,10,14,14,13,15,15,11,9,8,8,8,
15026,Fine Particulate Matter,2013-04-15,9,10,10,9,9,11,12,8,6,7,9,9,8,8,9,8,7,7,15,14,10,8,7,6,
15026,Fine Particulate Matter,2013-04-16,6,5,6,6,7,8,9,11,10,4,4,5,11,7,5,3,3,3,5,4,4,4,5,6,
15026,Fine Particulate Matter,2013-04-17,5,6,5,4,3,4,6,3,2,2,2,2,2,3,3,4,3,2,3,4,3,6,5,5,
15026,Fine Particulate Matter,2013-04-18,3,3,4,5,7,8,9,9,11,10,8,9,10,10,10,11,10,4,3,3,3,2,2,2,
15026,Fine Particulate Matter,2013-04-19,3,7,13,13,6,6,8,8,7,5,3,4,7,5,5,4,5,4,4,4,4,4,5,6,
15026,Fine Particulate Matter,2013-04-20,4,2,2,2,2,1,1,1,1,1,1,1,2,2,2,3,4,5,8,7,8,9,8,9,
15026,Fine Particulate Matter,2013-04-21,13,16,15,17,18,18,17,12,4,4,4,4,3,3,4,4,6,8,10,10,10,13,10,8,
15026,Fine Particulate Matter,2013-04-22,8,8,8,8,9,9,9,7,7,7,8,9,10,9,7,6,6,7,7,9,23,19,18,18,
15026,Fine Particulate Matter,2013-04-23,18,14,12,12,13,13,12,10,8,7,7,7,7,7,8,8,8,9,10,11,12,13,12,14,
15026,Fine Particulate Matter,2013-04-24,18,23,24,26,23,18,7,3,3,4,2,4,2,1,1,1,1,2,2,3,3,5,8,8,
15026,Fine Particulate Matter,2013-04-25,12,15,16,15,14,12,11,9,8,8,9,9,8,8,8,9,7,5,5,6,8,8,9,10,
15026,Fine Particulate Matter,2013-04-26,9,9,9,14,14,16,16,17,11,5,4,4,4,4,4,5,4,4,6,8,9,8,9,9,
15026,Fine Particulate Matter,2013-04-27,8,8,8,11,16,11,11,12,10,10,10,9,8,7,6,5,5,5,6,9,16,23,26,28,
15026,Fine Particulate Matter,2013-04-28,25,24,27,29,34,32,27,23,18,16,14,14,14,17,19,16,14,11,9,9,8,7,8,10,
